고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,기준연도,기준월,공시지가,공시일자,표준지여부,데이터기준일자,원천시도시군구코드
5173034034102710000,5173034034,강원특별자치도 횡성군 갑천면 병지방리,1,일반,271,2026,1,15000,2026-04-30,N,2026-05-21,51730
5111025027108910012,5111025027,강원특별자치도 춘천시 신북읍 용산리,1,일반,891-12,2026,1,42100,2026-04-30,N,2026-05-21,51110
5177034023101800002,5177034023,강원특별자치도 정선군 북평면 남평리,1,일반,180-2,2026,1,10000,2026-04-30,N,2026-05-21,51770
5173033031106330005,5173033031,강원특별자치도 횡성군 둔내면 화동리,1,일반,633-5,2026,1,17200,2026-04-30,N,2026-05-21,51730
5180033026107250000,5180033026,강원특별자치도 양구군 방산면 송현리,1,일반,725,2026,1,10000,2026-04-30,N,2026-05-21,51800
5115035022102290001,5115035022,강원특별자치도 강릉시 옥계면 천남리,1,일반,229-1,2026,1,25100,2026-04-30,N,2026-05-21,51150
5121010200102530008,5121010200,강원특별자치도 속초시 동명동,1,일반,253-8,2026,1,351500,2026-04-30,N,2026-05-21,51210
5113011800106640000,5113011800,강원특별자치도 원주시 가현동,1,일반,664,2026,1,113400,2026-04-30,N,2026-05-21,51130
5176036023123990001,5176036023,강원특별자치도 평창군 진부면 송정리,1,일반,2399-1,2026,1,53700,2026-04-30,N,2026-05-21,51760
5181032023104580068,5181032023,강원특별자치도 인제군 북면 한계리,1,일반,458-68,2026,1,6890,2026-04-30,N,2026-05-21,51810
5176025021104060004,5176025021,강원특별자치도 평창군 평창읍 상리,1,일반,406-4,2026,1,11900,2026-04-30,N,2026-05-21,51760
5117010500104050001,5117010500,강원특별자치도 동해시 지흥동,1,일반,405-1,2026,1,51600,2026-04-30,N,2026-05-21,51170
5183033031108710002,5183033031,강원특별자치도 양양군 현북면 어성전리,1,일반,871-2,2026,1,16700,2026-04-30,N,2026-05-21,51830
5117012300100850267,5117012300,강원특별자치도 동해시 묵호진동,1,일반,85-267,2026,1,34500,2026-04-30,N,2026-05-21,51170
5181034022107980006,5181034022,강원특별자치도 인제군 서화면 서흥리,1,일반,798-6,2026,1,12900,2026-04-30,N,2026-05-21,51810
5175025324103520010,5175025324,강원특별자치도 영월군 상동읍 덕구리,1,일반,352-10,2026,1,28900,2026-04-30,N,2026-05-21,51750
5115011000109380008,5115011000,강원특별자치도 강릉시 교동,1,일반,938-8,2026,1,345500,2026-04-30,N,2026-05-21,51150
5181033024109550001,5181033024,강원특별자치도 인제군 기린면 방동리,1,일반,955-1,2026,1,30900,2026-04-30,N,2026-05-21,51810
5179034025105410001,5179034025,강원특별자치도 화천군 사내면 삼일리,1,일반,541-1,2026,1,38000,2026-04-30,N,2026-05-21,51790
5179025028100280001,5179025028,강원특별자치도 화천군 화천읍 대이리,1,일반,28-1,2026,1,20900,2026-04-30,N,2026-05-21,51790
