고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,기준연도,기준월,공시지가,공시일자,표준지여부,데이터기준일자,원천시도시군구코드
4111113600107300013,4111113600,경기도 수원시 장안구 조원동,1,일반,730-13,2026,1,1608000,2026-04-30,N,2026-05-21,41110
4111113600107300001,4111113600,경기도 수원시 장안구 조원동,1,일반,730-1,2026,1,2050000,2026-04-30,N,2026-05-21,41110
4111113600107290028,4111113600,경기도 수원시 장안구 조원동,1,일반,729-28,2026,1,742500,2026-04-30,N,2026-05-21,41110
4111113600107290010,4111113600,경기도 수원시 장안구 조원동,1,일반,729-10,2026,1,1622000,2026-04-30,N,2026-05-21,41110
4111113600107280030,4111113600,경기도 수원시 장안구 조원동,1,일반,728-30,2026,1,2329000,2026-04-30,N,2026-05-21,41110
4111113600107280027,4111113600,경기도 수원시 장안구 조원동,1,일반,728-27,2026,1,2109000,2026-04-30,N,2026-05-21,41110
4111113600107280006,4111113600,경기도 수원시 장안구 조원동,1,일반,728-6,2026,1,1709000,2026-04-30,N,2026-05-21,41110
4111113600107270029,4111113600,경기도 수원시 장안구 조원동,1,일반,727-29,2026,1,1328000,2026-04-30,N,2026-05-21,41110
4111113600107270026,4111113600,경기도 수원시 장안구 조원동,1,일반,727-26,2026,1,1328000,2026-04-30,N,2026-05-21,41110
4111113600107270004,4111113600,경기도 수원시 장안구 조원동,1,일반,727-4,2026,1,1815000,2026-04-30,N,2026-05-21,41110
4111113600107260028,4111113600,경기도 수원시 장안구 조원동,1,일반,726-28,2026,1,1663000,2026-04-30,N,2026-05-21,41110
4111113600107260024,4111113600,경기도 수원시 장안구 조원동,1,일반,726-24,2026,1,1663000,2026-04-30,N,2026-05-21,41110
4111113600107260015,4111113600,경기도 수원시 장안구 조원동,1,일반,726-15,2026,1,1815000,2026-04-30,N,2026-05-21,41110
4111113600107260005,4111113600,경기도 수원시 장안구 조원동,1,일반,726-5,2026,1,1552000,2026-04-30,N,2026-05-21,41110
4111113600107250018,4111113600,경기도 수원시 장안구 조원동,1,일반,725-18,2026,1,2197000,2026-04-30,N,2026-05-21,41110
4111113600107250017,4111113600,경기도 수원시 장안구 조원동,1,일반,725-17,2026,1,1584000,2026-04-30,N,2026-05-21,41110
4111113600107250009,4111113600,경기도 수원시 장안구 조원동,1,일반,725-9,2026,1,1869000,2026-04-30,N,2026-05-21,41110
4111113600107250000,4111113600,경기도 수원시 장안구 조원동,1,일반,725,2026,1,2327000,2026-04-30,N,2026-05-21,41110
4111113600107070002,4111113600,경기도 수원시 장안구 조원동,1,일반,707-2,2026,1,445800,2026-04-30,N,2026-05-21,41110
4111113600107050000,4111113600,경기도 수원시 장안구 조원동,1,일반,705,2026,1,465600,2026-04-30,N,2026-05-21,41110
4111113600106930001,4111113600,경기도 수원시 장안구 조원동,1,일반,693-1,2026,1,1996000,2026-04-30,N,2026-05-21,41110
4111113600106910000,4111113600,경기도 수원시 장안구 조원동,1,일반,691,2026,1,567600,2026-04-30,N,2026-05-21,41110
4111113600106900006,4111113600,경기도 수원시 장안구 조원동,1,일반,690-6,2026,1,766200,2026-04-30,N,2026-05-21,41110
4111113600106890007,4111113600,경기도 수원시 장안구 조원동,1,일반,689-7,2026,1,769200,2026-04-30,N,2026-05-21,41110
4111113600106880002,4111113600,경기도 수원시 장안구 조원동,1,일반,688-2,2026,1,653000,2026-04-30,N,2026-05-21,41110
4111113600106820123,4111113600,경기도 수원시 장안구 조원동,1,일반,682-123,2026,1,476100,2026-04-30,N,2026-05-21,41110
4111113600106820105,4111113600,경기도 수원시 장안구 조원동,1,일반,682-105,2026,1,465000,2026-04-30,N,2026-05-21,41110
4111113900200480004,4111113900,경기도 수원시 장안구 하광교동,2,산,48-4,2026,1,13500,2026-04-30,N,2026-05-21,41110
4111113900200480003,4111113900,경기도 수원시 장안구 하광교동,2,산,48-3,2026,1,14700,2026-04-30,N,2026-05-21,41110
4111113900200470011,4111113900,경기도 수원시 장안구 하광교동,2,산,47-11,2026,1,15000,2026-04-30,N,2026-05-21,41110
4111113600107450021,4111113600,경기도 수원시 장안구 조원동,1,일반,745-21,2026,1,1449000,2026-04-30,N,2026-05-21,41110
4111113400100990017,4111113400,경기도 수원시 장안구 영화동,1,일반,99-17,2026,1,450100,2026-04-30,N,2026-05-21,41110
4111113400100990005,4111113400,경기도 수원시 장안구 영화동,1,일반,99-5,2026,1,1541000,2026-04-30,N,2026-05-21,41110
4111113400100990002,4111113400,경기도 수원시 장안구 영화동,1,일반,99-2,2026,1,1929000,2026-04-30,N,2026-05-21,41110
4111113400100980007,4111113400,경기도 수원시 장안구 영화동,1,일반,98-7,2026,1,450100,2026-04-30,N,2026-05-21,41110
4111113400100980002,4111113400,경기도 수원시 장안구 영화동,1,일반,98-2,2026,1,1504000,2026-04-30,N,2026-05-21,41110
4111113400100970058,4111113400,경기도 수원시 장안구 영화동,1,일반,97-58,2026,1,1756000,2026-04-30,N,2026-05-21,41110
4111113400100970056,4111113400,경기도 수원시 장안구 영화동,1,일반,97-56,2026,1,735200,2026-04-30,N,2026-05-21,41110
4111113400100970041,4111113400,경기도 수원시 장안구 영화동,1,일반,97-41,2026,1,484400,2026-04-30,N,2026-05-21,41110
4111113400100970040,4111113400,경기도 수원시 장안구 영화동,1,일반,97-40,2026,1,1475000,2026-04-30,N,2026-05-21,41110
4111113400100970039,4111113400,경기도 수원시 장안구 영화동,1,일반,97-39,2026,1,484400,2026-04-30,N,2026-05-21,41110
4111113400100970011,4111113400,경기도 수원시 장안구 영화동,1,일반,97-11,2026,1,1636000,2026-04-30,N,2026-05-21,41110
4111113400100970009,4111113400,경기도 수원시 장안구 영화동,1,일반,97-9,2026,1,1756000,2026-04-30,N,2026-05-21,41110
4111113400100970003,4111113400,경기도 수원시 장안구 영화동,1,일반,97-3,2026,1,1726000,2026-04-30,N,2026-05-21,41110
4111113400100960002,4111113400,경기도 수원시 장안구 영화동,1,일반,96-2,2026,1,1756000,2026-04-30,N,2026-05-21,41110
4111113400100950003,4111113400,경기도 수원시 장안구 영화동,1,일반,95-3,2026,1,1756000,2026-04-30,N,2026-05-21,41110
4111113400100930014,4111113400,경기도 수원시 장안구 영화동,1,일반,93-14,2026,1,1756000,2026-04-30,N,2026-05-21,41110
4111113400100920004,4111113400,경기도 수원시 장안구 영화동,1,일반,92-4,2026,1,1756000,2026-04-30,N,2026-05-21,41110
4111113400100880002,4111113400,경기도 수원시 장안구 영화동,1,일반,88-2,2026,1,1756000,2026-04-30,N,2026-05-21,41110
4111113400100850017,4111113400,경기도 수원시 장안구 영화동,1,일반,85-17,2026,1,1756000,2026-04-30,N,2026-05-21,41110
4111113400100850015,4111113400,경기도 수원시 장안구 영화동,1,일반,85-15,2026,1,1756000,2026-04-30,N,2026-05-21,41110
4111113400100840005,4111113400,경기도 수원시 장안구 영화동,1,일반,84-5,2026,1,1756000,2026-04-30,N,2026-05-21,41110
4111113400100830010,4111113400,경기도 수원시 장안구 영화동,1,일반,83-10,2026,1,1756000,2026-04-30,N,2026-05-21,41110
4111113400100830007,4111113400,경기도 수원시 장안구 영화동,1,일반,83-7,2026,1,1756000,2026-04-30,N,2026-05-21,41110
4111113400100830003,4111113400,경기도 수원시 장안구 영화동,1,일반,83-3,2026,1,1756000,2026-04-30,N,2026-05-21,41110
4111113400100830000,4111113400,경기도 수원시 장안구 영화동,1,일반,83,2026,1,1756000,2026-04-30,N,2026-05-21,41110
4111113400100810002,4111113400,경기도 수원시 장안구 영화동,1,일반,81-2,2026,1,1756000,2026-04-30,N,2026-05-21,41110
4111113400100800002,4111113400,경기도 수원시 장안구 영화동,1,일반,80-2,2026,1,1756000,2026-04-30,N,2026-05-21,41110
4111113400100780007,4111113400,경기도 수원시 장안구 영화동,1,일반,78-7,2026,1,1756000,2026-04-30,N,2026-05-21,41110
4111113400100770005,4111113400,경기도 수원시 장안구 영화동,1,일반,77-5,2026,1,1756000,2026-04-30,N,2026-05-21,41110
4111112900105900020,4111112900,경기도 수원시 장안구 파장동,1,일반,590-20,2026,1,553400,2026-04-30,N,2026-05-21,41110
4111112900105900014,4111112900,경기도 수원시 장안구 파장동,1,일반,590-14,2026,1,1338000,2026-04-30,N,2026-05-21,41110
4111112900105900000,4111112900,경기도 수원시 장안구 파장동,1,일반,590,2026,1,1888000,2026-04-30,N,2026-05-21,41110
4111112900105890017,4111112900,경기도 수원시 장안구 파장동,1,일반,589-17,2026,1,1973000,2026-04-30,N,2026-05-21,41110
4111112900105890014,4111112900,경기도 수원시 장안구 파장동,1,일반,589-14,2026,1,1973000,2026-04-30,N,2026-05-21,41110
4111112900105890010,4111112900,경기도 수원시 장안구 파장동,1,일반,589-10,2026,1,1475000,2026-04-30,N,2026-05-21,41110
4111112900105890006,4111112900,경기도 수원시 장안구 파장동,1,일반,589-6,2026,1,3157000,2026-04-30,N,2026-05-21,41110
4111112900105890003,4111112900,경기도 수원시 장안구 파장동,1,일반,589-3,2026,1,1609000,2026-04-30,N,2026-05-21,41110
4111112900105890001,4111112900,경기도 수원시 장안구 파장동,1,일반,589-1,2026,1,1556000,2026-04-30,N,2026-05-21,41110
4111112900105880028,4111112900,경기도 수원시 장안구 파장동,1,일반,588-28,2026,1,1387000,2026-04-30,N,2026-05-21,41110
4111112900105880025,4111112900,경기도 수원시 장안구 파장동,1,일반,588-25,2026,1,1541000,2026-04-30,N,2026-05-21,41110
4111112900105880019,4111112900,경기도 수원시 장안구 파장동,1,일반,588-19,2026,1,2064000,2026-04-30,N,2026-05-21,41110
4111112900105880018,4111112900,경기도 수원시 장안구 파장동,1,일반,588-18,2026,1,1784000,2026-04-30,N,2026-05-21,41110
4111112900105880014,4111112900,경기도 수원시 장안구 파장동,1,일반,588-14,2026,1,1271000,2026-04-30,N,2026-05-21,41110
4111112900105880012,4111112900,경기도 수원시 장안구 파장동,1,일반,588-12,2026,1,1495000,2026-04-30,N,2026-05-21,41110
4111112900105880011,4111112900,경기도 수원시 장안구 파장동,1,일반,588-11,2026,1,1495000,2026-04-30,N,2026-05-21,41110
4111112900105880001,4111112900,경기도 수원시 장안구 파장동,1,일반,588-1,2026,1,2064000,2026-04-30,N,2026-05-21,41110
4111112900105870030,4111112900,경기도 수원시 장안구 파장동,1,일반,587-30,2026,1,1476000,2026-04-30,N,2026-05-21,41110
4111112900105870024,4111112900,경기도 수원시 장안구 파장동,1,일반,587-24,2026,1,1888000,2026-04-30,N,2026-05-21,41110
4111112900105870020,4111112900,경기도 수원시 장안구 파장동,1,일반,587-20,2026,1,1476000,2026-04-30,N,2026-05-21,41110
4111113600107700003,4111113600,경기도 수원시 장안구 조원동,1,일반,770-3,2026,1,1602000,2026-04-30,N,2026-05-21,41110
4111113600107700001,4111113600,경기도 수원시 장안구 조원동,1,일반,770-1,2026,1,1618000,2026-04-30,N,2026-05-21,41110
4111113600107690026,4111113600,경기도 수원시 장안구 조원동,1,일반,769-26,2026,1,1607000,2026-04-30,N,2026-05-21,41110
4111113600107690016,4111113600,경기도 수원시 장안구 조원동,1,일반,769-16,2026,1,1961000,2026-04-30,N,2026-05-21,41110
4111113600107690012,4111113600,경기도 수원시 장안구 조원동,1,일반,769-12,2026,1,1601000,2026-04-30,N,2026-05-21,41110
4111113600107690007,4111113600,경기도 수원시 장안구 조원동,1,일반,769-7,2026,1,1601000,2026-04-30,N,2026-05-21,41110
4111113600107680015,4111113600,경기도 수원시 장안구 조원동,1,일반,768-15,2026,1,1408000,2026-04-30,N,2026-05-21,41110
4111113600107680005,4111113600,경기도 수원시 장안구 조원동,1,일반,768-5,2026,1,1617000,2026-04-30,N,2026-05-21,41110
4111113600107670024,4111113600,경기도 수원시 장안구 조원동,1,일반,767-24,2026,1,1617000,2026-04-30,N,2026-05-21,41110
4111113600107670023,4111113600,경기도 수원시 장안구 조원동,1,일반,767-23,2026,1,1750000,2026-04-30,N,2026-05-21,41110
4111113800102960001,4111113800,경기도 수원시 장안구 상광교동,1,일반,296-1,2026,1,136800,2026-04-30,N,2026-05-21,41110
4111113800102960000,4111113800,경기도 수원시 장안구 상광교동,1,일반,296,2026,1,129900,2026-04-30,N,2026-05-21,41110
4111113800102900004,4111113800,경기도 수원시 장안구 상광교동,1,일반,290-4,2026,1,136100,2026-04-30,N,2026-05-21,41110
4111113800102870002,4111113800,경기도 수원시 장안구 상광교동,1,일반,287-2,2026,1,786400,2026-04-30,N,2026-05-21,41110
4111113800102850001,4111113800,경기도 수원시 장안구 상광교동,1,일반,285-1,2026,1,98100,2026-04-30,N,2026-05-21,41110
4111113800102840006,4111113800,경기도 수원시 장안구 상광교동,1,일반,284-6,2026,1,170000,2026-04-30,N,2026-05-21,41110
4111113800102840004,4111113800,경기도 수원시 장안구 상광교동,1,일반,284-4,2026,1,166700,2026-04-30,N,2026-05-21,41110
4111113800102840003,4111113800,경기도 수원시 장안구 상광교동,1,일반,284-3,2026,1,55000,2026-04-30,N,2026-05-21,41110
4111113800102760005,4111113800,경기도 수원시 장안구 상광교동,1,일반,276-5,2026,1,166700,2026-04-30,N,2026-05-21,41110
4111113800102760001,4111113800,경기도 수원시 장안구 상광교동,1,일반,276-1,2026,1,158300,2026-04-30,N,2026-05-21,41110
4111113000108690001,4111113000,경기도 수원시 장안구 정자동,1,일반,869-1,2026,1,304800,2026-04-30,N,2026-05-21,41110
4111113000108680000,4111113000,경기도 수원시 장안구 정자동,1,일반,868,2026,1,697600,2026-04-30,N,2026-05-21,41110
4111113000108640002,4111113000,경기도 수원시 장안구 정자동,1,일반,864-2,2026,1,791000,2026-04-30,N,2026-05-21,41110
4111113000108470083,4111113000,경기도 수원시 장안구 정자동,1,일반,847-83,2026,1,2116000,2026-04-30,N,2026-05-21,41110
4111113000108470036,4111113000,경기도 수원시 장안구 정자동,1,일반,847-36,2026,1,2116000,2026-04-30,N,2026-05-21,41110
4111113000108470033,4111113000,경기도 수원시 장안구 정자동,1,일반,847-33,2026,1,467900,2026-04-30,N,2026-05-21,41110
4111113000108460063,4111113000,경기도 수원시 장안구 정자동,1,일반,846-63,2026,1,1492000,2026-04-30,N,2026-05-21,41110
4111113000108460057,4111113000,경기도 수원시 장안구 정자동,1,일반,846-57,2026,1,2116000,2026-04-30,N,2026-05-21,41110
4111113000108460056,4111113000,경기도 수원시 장안구 정자동,1,일반,846-56,2026,1,2116000,2026-04-30,N,2026-05-21,41110
4111113100108760001,4111113100,경기도 수원시 장안구 이목동,1,일반,876-1,2026,1,1236000,2026-04-30,N,2026-05-21,41110
4111113100108760000,4111113100,경기도 수원시 장안구 이목동,1,일반,876,2026,1,1200000,2026-04-30,N,2026-05-21,41110
4111113100108730001,4111113100,경기도 수원시 장안구 이목동,1,일반,873-1,2026,1,1111000,2026-04-30,N,2026-05-21,41110
4111113100108710000,4111113100,경기도 수원시 장안구 이목동,1,일반,871,2026,1,459900,2026-04-30,N,2026-05-21,41110
4111113100108690006,4111113100,경기도 수원시 장안구 이목동,1,일반,869-6,2026,1,551400,2026-04-30,N,2026-05-21,41110
4111113100108690005,4111113100,경기도 수원시 장안구 이목동,1,일반,869-5,2026,1,551400,2026-04-30,N,2026-05-21,41110
4111113100108650001,4111113100,경기도 수원시 장안구 이목동,1,일반,865-1,2026,1,458300,2026-04-30,N,2026-05-21,41110
4111113100108590000,4111113100,경기도 수원시 장안구 이목동,1,일반,859,2026,1,551400,2026-04-30,N,2026-05-21,41110
4111113100108570000,4111113100,경기도 수원시 장안구 이목동,1,일반,857,2026,1,551400,2026-04-30,N,2026-05-21,41110
4111113100108560002,4111113100,경기도 수원시 장안구 이목동,1,일반,856-2,2026,1,551400,2026-04-30,N,2026-05-21,41110
4111113100108560000,4111113100,경기도 수원시 장안구 이목동,1,일반,856,2026,1,551400,2026-04-30,N,2026-05-21,41110
4111113100108440000,4111113100,경기도 수원시 장안구 이목동,1,일반,844,2026,1,1519000,2026-04-30,N,2026-05-21,41110
4111113100108410000,4111113100,경기도 수원시 장안구 이목동,1,일반,841,2026,1,1519000,2026-04-30,N,2026-05-21,41110
4111113100108290000,4111113100,경기도 수원시 장안구 이목동,1,일반,829,2026,1,1625000,2026-04-30,N,2026-05-21,41110
4111113100108210001,4111113100,경기도 수원시 장안구 이목동,1,일반,821-1,2026,1,390700,2026-04-30,N,2026-05-21,41110
4111113900200470010,4111113900,경기도 수원시 장안구 하광교동,2,산,47-10,2026,1,15300,2026-04-30,N,2026-05-21,41110
4111113900200450002,4111113900,경기도 수원시 장안구 하광교동,2,산,45-2,2026,1,16500,2026-04-30,N,2026-05-21,41110
4111113900200450001,4111113900,경기도 수원시 장안구 하광교동,2,산,45-1,2026,1,14700,2026-04-30,N,2026-05-21,41110
4111113900200420000,4111113900,경기도 수원시 장안구 하광교동,2,산,42,2026,1,8200,2026-04-30,N,2026-05-21,41110
4111113900200390000,4111113900,경기도 수원시 장안구 하광교동,2,산,39,2026,1,8200,2026-04-30,N,2026-05-21,41110
4111113900200370000,4111113900,경기도 수원시 장안구 하광교동,2,산,37,2026,1,8450,2026-04-30,N,2026-05-21,41110
4111113900200360000,4111113900,경기도 수원시 장안구 하광교동,2,산,36,2026,1,8290,2026-04-30,N,2026-05-21,41110
4111113900200340000,4111113900,경기도 수원시 장안구 하광교동,2,산,34,2026,1,8200,2026-04-30,N,2026-05-21,41110
4111113900200280000,4111113900,경기도 수원시 장안구 하광교동,2,산,28,2026,1,8200,2026-04-30,N,2026-05-21,41110
4111113900200250000,4111113900,경기도 수원시 장안구 하광교동,2,산,25,2026,1,8110,2026-04-30,N,2026-05-21,41110
4111113900200160000,4111113900,경기도 수원시 장안구 하광교동,2,산,16,2026,1,12500,2026-04-30,N,2026-05-21,41110
4111113900200110043,4111113900,경기도 수원시 장안구 하광교동,2,산,11-43,2026,1,10100,2026-04-30,N,2026-05-21,41110
4111113900200110036,4111113900,경기도 수원시 장안구 하광교동,2,산,11-36,2026,1,13500,2026-04-30,N,2026-05-21,41110
4111113900200110030,4111113900,경기도 수원시 장안구 하광교동,2,산,11-30,2026,1,13500,2026-04-30,N,2026-05-21,41110
4111113900200110027,4111113900,경기도 수원시 장안구 하광교동,2,산,11-27,2026,1,11700,2026-04-30,N,2026-05-21,41110
4111113900200110025,4111113900,경기도 수원시 장안구 하광교동,2,산,11-25,2026,1,12000,2026-04-30,N,2026-05-21,41110
4111113900200110023,4111113900,경기도 수원시 장안구 하광교동,2,산,11-23,2026,1,13200,2026-04-30,N,2026-05-21,41110
4111113900200110013,4111113900,경기도 수원시 장안구 하광교동,2,산,11-13,2026,1,10100,2026-04-30,N,2026-05-21,41110
4111113900200110012,4111113900,경기도 수원시 장안구 하광교동,2,산,11-12,2026,1,11100,2026-04-30,N,2026-05-21,41110
4111113900200110005,4111113900,경기도 수원시 장안구 하광교동,2,산,11-5,2026,1,9870,2026-04-30,N,2026-05-21,41110
4111113900200110004,4111113900,경기도 수원시 장안구 하광교동,2,산,11-4,2026,1,10000,2026-04-30,N,2026-05-21,41110
4111113900200110001,4111113900,경기도 수원시 장안구 하광교동,2,산,11-1,2026,1,10800,2026-04-30,N,2026-05-21,41110
4111113900200070010,4111113900,경기도 수원시 장안구 하광교동,2,산,7-10,2026,1,9570,2026-04-30,N,2026-05-21,41110
