고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,기준연도,기준월,공시지가,공시일자,표준지여부,데이터기준일자,원천시도시군구코드
4812725028114110002,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1411-2,2026,1,21400,2026-04-30,N,2026-05-21,48120
4812725028114080000,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1408,2026,1,69300,2026-04-30,N,2026-05-21,48120
4812725028114030000,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1403,2026,1,7110,2026-04-30,N,2026-05-21,48120
4812725028113980000,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1398,2026,1,39900,2026-04-30,N,2026-05-21,48120
4812725028113930000,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1393,2026,1,39900,2026-04-30,N,2026-05-21,48120
4812725028113860000,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1386,2026,1,79600,2026-04-30,N,2026-05-21,48120
4812725028113810003,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1381-3,2026,1,28200,2026-04-30,N,2026-05-21,48120
4812725028113750000,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1375,2026,1,77900,2026-04-30,N,2026-05-21,48120
4812725028113710000,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1371,2026,1,77900,2026-04-30,N,2026-05-21,48120
4812725028113600000,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1360,2026,1,98800,2026-04-30,N,2026-05-21,48120
4812725028113560000,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1356,2026,1,77900,2026-04-30,N,2026-05-21,48120
4812725028113530000,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1353,2026,1,65900,2026-04-30,N,2026-05-21,48120
4812725028113480000,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1348,2026,1,65900,2026-04-30,N,2026-05-21,48120
4812725028113460000,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1346,2026,1,77900,2026-04-30,N,2026-05-21,48120
4812725028113360004,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1336-4,2026,1,77900,2026-04-30,N,2026-05-21,48120
4812725028113360002,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1336-2,2026,1,77900,2026-04-30,N,2026-05-21,48120
4812725028113340000,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1334,2026,1,8400,2026-04-30,N,2026-05-21,48120
4812725028113300002,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1330-2,2026,1,229500,2026-04-30,N,2026-05-21,48120
4812725028113260001,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1326-1,2026,1,86900,2026-04-30,N,2026-05-21,48120
4812725028113200000,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1320,2026,1,79600,2026-04-30,N,2026-05-21,48120
4812725028113170000,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1317,2026,1,39900,2026-04-30,N,2026-05-21,48120
4812725028113120003,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1312-3,2026,1,7080,2026-04-30,N,2026-05-21,48120
4812725028113090000,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1309,2026,1,303000,2026-04-30,N,2026-05-21,48120
4812725028113000000,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1300,2026,1,44700,2026-04-30,N,2026-05-21,48120
4812725028112980000,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1298,2026,1,41100,2026-04-30,N,2026-05-21,48120
4812725028112920000,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1292,2026,1,65600,2026-04-30,N,2026-05-21,48120
4812725028112880002,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1288-2,2026,1,86400,2026-04-30,N,2026-05-21,48120
4812725028112860002,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1286-2,2026,1,13100,2026-04-30,N,2026-05-21,48120
4812725028112860001,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1286-1,2026,1,21400,2026-04-30,N,2026-05-21,48120
4812725028112850000,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1285,2026,1,13100,2026-04-30,N,2026-05-21,48120
4812725028112840000,4812725028,경상남도 창원시 마산회원구 내서읍 삼계리,1,일반,1284,2026,1,13100,2026-04-30,N,2026-05-21,48120
