고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,기준연도,기준월,공시지가,공시일자,표준지여부,데이터기준일자,원천시도시군구코드
4777031041101530000,4777031041,경상북도 영덕군 강구면 원직리,1,일반,153,2026,1,64700,2026-04-30,N,2026-05-21,47770
4775032031102590000,4775032031,경상북도 청송군 부남면 대전리,1,일반,259,2026,1,18300,2026-04-30,N,2026-05-21,47750
4713032023102680001,4713032023,경상북도 경주시 양남면 신서리,1,일반,268-1,2026,1,44400,2026-04-30,N,2026-05-21,47130
4715041037105950002,4715041037,경상북도 김천시 구성면 상좌원리,1,일반,595-2,2026,1,29700,2026-04-30,N,2026-05-21,47150
4782025032101970000,4782025032,경상북도 청도군 화양읍 진라리,1,일반,197,2026,1,47600,2026-04-30,N,2026-05-21,47820
4711332031101490000,4711332031,경상북도 포항시 북구 청하면 소동리,1,일반,149,2026,1,118100,2026-04-30,N,2026-05-21,47110
4719025031100670001,4719025031,경상북도 구미시 선산읍 원리,1,일반,67-1,2026,1,64000,2026-04-30,N,2026-05-21,47190
4717043021105320000,4717043021,경상북도 안동시 녹전면 신평리,1,일반,532,2026,1,14200,2026-04-30,N,2026-05-21,47170
4785025325105140005,4785025325,경상북도 칠곡군 북삼읍 인평리,1,일반,514-5,2026,1,338500,2026-04-30,N,2026-05-21,47850
4719010200104630002,4719010200,경상북도 구미시 지산동,1,일반,463-2,2026,1,96500,2026-04-30,N,2026-05-21,47190
4792025025108220006,4792025025,경상북도 봉화군 봉화읍 석평리,1,일반,822-6,2026,1,35900,2026-04-30,N,2026-05-21,47920
4717031029105810000,4717031029,경상북도 안동시 와룡면 이하리,1,일반,581,2026,1,20900,2026-04-30,N,2026-05-21,47170
4782037054108850000,4782037054,경상북도 청도군 매전면 구촌리,1,일반,885,2026,1,7120,2026-04-30,N,2026-05-21,47820
4784033047107060000,4784033047,경상북도 성주군 수륜면 작은리,1,일반,706,2026,1,3180,2026-04-30,N,2026-05-21,47840
4711125021104660001,4711125021,경상북도 포항시 남구 구룡포읍 구룡포리,1,일반,466-1,2026,1,396400,2026-04-30,N,2026-05-21,47110
4717039023107700001,4717039023,경상북도 안동시 길안면 백자리,1,일반,770-1,2026,1,8310,2026-04-30,N,2026-05-21,47170
4790025027100670021,4790025027,경상북도 예천군 예천읍 대심리,1,일반,67-21,2026,1,643200,2026-04-30,N,2026-05-21,47900
4725034022101750003,4725034022,경상북도 상주시 청리면 월로리,1,일반,175-3,2026,1,14200,2026-04-30,N,2026-05-21,47250
4775031521103990000,4775031521,경상북도 청송군 주왕산면 상평리,1,일반,399,2026,1,10900,2026-04-30,N,2026-05-21,47750
4790040029107600000,4790040029,경상북도 예천군 지보면 송평리,1,일반,760,2026,1,18900,2026-04-30,N,2026-05-21,47900
4784032046105490000,4784032046,경상북도 성주군 용암면 사곡리,1,일반,549,2026,1,18200,2026-04-30,N,2026-05-21,47840
4715039022111320001,4715039022,경상북도 김천시 감천면 무안리,1,일반,1132-1,2026,1,16900,2026-04-30,N,2026-05-21,47150
4713033022109610007,4713033022,경상북도 경주시 내남면 노곡리,1,일반,961-7,2026,1,113700,2026-04-30,N,2026-05-21,47130
4790040029102940000,4790040029,경상북도 예천군 지보면 송평리,1,일반,294,2026,1,16400,2026-04-30,N,2026-05-21,47900
4775032038109340000,4775032038,경상북도 청송군 부남면 양숙리,1,일반,934,2026,1,3060,2026-04-30,N,2026-05-21,47750
4711133023100910002,4711133023,경상북도 포항시 남구 장기면 금곡리,1,일반,91-2,2026,1,15500,2026-04-30,N,2026-05-21,47110
4715037028101710000,4715037028,경상북도 김천시 봉산면 광천리,1,일반,171,2026,1,5820,2026-04-30,N,2026-05-21,47150
4776025023107880004,4776025023,경상북도 영양군 영양읍 감천리,1,일반,788-4,2026,1,22200,2026-04-30,N,2026-05-21,47760
4715040027105370000,4715040027,경상북도 김천시 조마면 대방리,1,일반,537,2026,1,32800,2026-04-30,N,2026-05-21,47150
4719025323108380000,4719025323,경상북도 구미시 고아읍 오로리,1,일반,838,2026,1,100300,2026-04-30,N,2026-05-21,47190
4785037032109040001,4785037032,경상북도 칠곡군 기산면 봉산리,1,일반,904-1,2026,1,77900,2026-04-30,N,2026-05-21,47850
4790031050105350000,4790031050,경상북도 예천군 용문면 내지리,1,일반,535,2026,1,14600,2026-04-30,N,2026-05-21,47900
4723033025106420000,4723033025,경상북도 영천시 화산면 당지리,1,일반,642,2026,1,5830,2026-04-30,N,2026-05-21,47230
4719011300100070000,4719011300,경상북도 구미시 공단동,1,일반,7,2026,1,388600,2026-04-30,N,2026-05-21,47190
4717041024106700000,4717041024,경상북도 안동시 예안면 태곡리,1,일반,670,2026,1,14500,2026-04-30,N,2026-05-21,47170
4715011800102460000,4715011800,경상북도 김천시 응명동,1,일반,246,2026,1,70800,2026-04-30,N,2026-05-21,47150
4715034024104090000,4715034024,경상북도 김천시 개령면 서부리,1,일반,409,2026,1,50100,2026-04-30,N,2026-05-21,47150
4713014400112100026,4713014400,경상북도 경주시 석장동,1,일반,1210-26,2026,1,51900,2026-04-30,N,2026-05-21,47130
4723025024101550001,4723025024,경상북도 영천시 금호읍 대미리,1,일반,155-1,2026,1,51800,2026-04-30,N,2026-05-21,47230
4719012900103110002,4719012900,경상북도 구미시 구포동,1,일반,311-2,2026,1,154400,2026-04-30,N,2026-05-21,47190
4773032033109170002,4773032033,경상북도 의성군 점곡면 동변리,1,일반,917-2,2026,1,16400,2026-04-30,N,2026-05-21,47730
4785032031112900000,4785032031,경상북도 칠곡군 동명면 송산리,1,일반,1290,2026,1,102700,2026-04-30,N,2026-05-21,47850
4717042027112230000,4717042027,경상북도 안동시 도산면 태자리,1,일반,1223,2026,1,6490,2026-04-30,N,2026-05-21,47170
4793033025100430002,4793033025,경상북도 울진군 근남면 구산리,1,일반,43-2,2026,1,12000,2026-04-30,N,2026-05-21,47930
4785033036110500002,4785033036,경상북도 칠곡군 가산면 가산리,1,일반,1050-2,2026,1,64100,2026-04-30,N,2026-05-21,47850
4713031531121610000,4713031531,경상북도 경주시 문무대왕면 용동리,1,일반,2161,2026,1,4760,2026-01-23,Y,2026-05-21,47130
4725044025102150000,4725044025,경상북도 상주시 은척면 문암리,1,일반,215,2026,1,16900,2026-04-30,N,2026-05-21,47250
4794031024106530033,4794031024,경상북도 울릉군 서면 남양리,1,일반,653-33,2026,1,335700,2026-04-30,N,2026-05-21,47940
4717032029104890001,4717032029,경상북도 안동시 북후면 신전리,1,일반,489-1,2026,1,13300,2026-04-30,N,2026-05-21,47170
4790042026100280000,4790042026,경상북도 예천군 효자면 백석리,1,일반,28,2026,1,7510,2026-04-30,N,2026-05-21,47900
4717032026103390002,4717032026,경상북도 안동시 북후면 물한리,1,일반,339-2,2026,1,14200,2026-04-30,N,2026-05-21,47170
4725040023107890000,4725040023,경상북도 상주시 화동면 판곡리,1,일반,789,2026,1,8110,2026-04-30,N,2026-05-21,47250
4777034046104330000,4777034046,경상북도 영덕군 지품면 수암리,1,일반,433,2026,1,653,2026-04-30,N,2026-05-21,47770
4715034021107630001,4715034021,경상북도 김천시 개령면 황계리,1,일반,763-1,2026,1,20800,2026-04-30,N,2026-05-21,47150
4723036024102170001,4723036024,경상북도 영천시 자양면 삼귀리,1,일반,217-1,2026,1,25400,2026-04-30,N,2026-05-21,47230
4711132023100320000,4711132023,경상북도 포항시 남구 동해면 금광리,1,일반,32,2026,1,4110,2026-04-30,N,2026-05-21,47110
4773031031108810001,4773031031,경상북도 의성군 단촌면 하화리,1,일반,881-1,2026,1,16800,2026-04-30,N,2026-05-21,47730
4725010500103640016,4725010500,경상북도 상주시 냉림동,1,일반,364-16,2026,1,693400,2026-04-30,N,2026-05-21,47250
4711111500102090119,4711111500,경상북도 포항시 남구 지곡동,1,일반,209-119,2026,1,345800,2026-04-30,N,2026-05-21,47110
4713025923101000003,4713025923,경상북도 경주시 외동읍 석계리,1,일반,100-3,2026,1,77600,2026-04-30,N,2026-05-21,47130
4793037021102470001,4793037021,경상북도 울진군 죽변면 죽변리,1,일반,247-1,2026,1,36300,2026-04-30,N,2026-05-21,47930
4782034049100250000,4782034049,경상북도 청도군 이서면 고철리,1,일반,25,2026,1,35300,2026-01-23,Y,2026-05-21,47820
4729037023105710002,4729037023,경상북도 경산시 남천면 산전리,1,일반,571-2,2026,1,50100,2026-04-30,N,2026-05-21,47290
4721010400102060003,4721010400,경상북도 영주시 휴천동,1,일반,206-3,2026,1,184600,2026-04-30,N,2026-05-21,47210
4783037038100330094,4783037038,경상북도 고령군 쌍림면 송림리,1,일반,33-94,2026,1,31500,2026-04-30,N,2026-05-21,47830
4793031032102680000,4793031032,경상북도 울진군 북면 신화리,1,일반,268,2026,1,5370,2026-01-23,Y,2026-05-21,47930
4773045037105170001,4773045037,경상북도 의성군 신평면 교안리,1,일반,517-1,2026,1,8880,2026-04-30,N,2026-05-21,47730
4713025022103020000,4713025022,경상북도 경주시 감포읍 전동리,1,일반,302,2026,1,109900,2026-04-30,N,2026-05-21,47130
4713025334111100001,4713025334,경상북도 경주시 안강읍 양월리,1,일반,1110-1,2026,1,50400,2026-04-30,N,2026-05-21,47130
4711325046101610001,4711325046,경상북도 포항시 북구 흥해읍 초곡리,1,일반,161-1,2026,1,89500,2026-04-30,N,2026-05-21,47110
4717031023101170006,4717031023,경상북도 안동시 와룡면 산야리,1,일반,117-6,2026,1,496,2026-04-30,N,2026-05-21,47170
4790034050100500001,4790034050,경상북도 예천군 감천면 마촌리,1,일반,50-1,2026,1,4290,2026-04-30,N,2026-05-21,47900
4793040024103380001,4793040024,경상북도 울진군 매화면 덕신리,1,일반,338-1,2026,1,88800,2026-04-30,N,2026-05-21,47930
4711131021101040007,4711131021,경상북도 포항시 남구 대송면 공수리,1,일반,104-7,2026,1,132600,2026-04-30,N,2026-05-21,47110
4728025026107830026,4728025026,경상북도 문경시 문경읍 마원리,1,일반,783-26,2026,1,20800,2026-04-30,N,2026-05-21,47280
4775036032104720001,4775036032,경상북도 청송군 파천면 관리,1,일반,472-1,2026,1,31900,2026-04-30,N,2026-05-21,47750
4715032030102180000,4715032030,경상북도 김천시 남면 운남리,1,일반,218,2026,1,42300,2026-04-30,N,2026-05-21,47150
4777037037100840006,4777037037,경상북도 영덕군 병곡면 백석리,1,일반,84-6,2026,1,219600,2026-04-30,N,2026-05-21,47770
4713013500100280004,4713013500,경상북도 경주시 천군동,1,일반,28-4,2026,1,15700,2026-04-30,N,2026-05-21,47130
4719031029100080000,4719031029,경상북도 구미시 무을면 웅곡리,1,일반,8,2026,1,9250,2026-04-30,N,2026-05-21,47190
4723040031102450001,4723040031,경상북도 영천시 대창면 사리리,1,일반,245-1,2026,1,13300,2026-04-30,N,2026-05-21,47230
4775025024100400000,4775025024,경상북도 청송군 청송읍 청운리,1,일반,40,2026,1,7480,2026-04-30,N,2026-05-21,47750
4713025937110260004,4713025937,경상북도 경주시 외동읍 북토리,1,일반,1026-4,2026,1,78300,2026-04-30,N,2026-05-21,47130
4785025023103590000,4785025023,경상북도 칠곡군 왜관읍 매원리,1,일반,359,2026,1,196200,2026-04-30,N,2026-05-21,47850
4792033025112060000,4792033025,경상북도 봉화군 법전면 눌산리,1,일반,1206,2026,1,3690,2026-04-30,N,2026-05-21,47920
4773025032102660000,4773025032,경상북도 의성군 의성읍 철파리,1,일반,266,2026,1,2220,2026-04-30,N,2026-05-21,47730
4723037032103370000,4723037032,경상북도 영천시 임고면 고천리,1,일반,337,2026,1,33700,2026-04-30,N,2026-05-21,47230
4725034029106340000,4725034029,경상북도 상주시 청리면 덕산리,1,일반,634,2026,1,18800,2026-04-30,N,2026-05-21,47250
4725038026101430001,4725038026,경상북도 상주시 모동면 상판리,1,일반,143-1,2026,1,6150,2026-04-30,N,2026-05-21,47250
4728035029104030000,4728035029,경상북도 문경시 동로면 명전리,1,일반,403,2026,1,8840,2026-04-30,N,2026-05-21,47280
4793025027106100008,4793025027,경상북도 울진군 울진읍 정림리,1,일반,610-8,2026,1,23900,2026-04-30,N,2026-05-21,47930
4775031521101410037,4775031521,경상북도 청송군 주왕산면 상평리,1,일반,141-37,2026,1,3920,2026-04-30,N,2026-05-21,47750
4715025022101850006,4715025022,경상북도 김천시 아포읍 의리,1,일반,185-6,2026,1,31100,2026-04-30,N,2026-05-21,47150
4723025021102660002,4723025021,경상북도 영천시 금호읍 교대리,1,일반,266-2,2026,1,173300,2026-04-30,N,2026-05-21,47230
4721033029101070000,4721033029,경상북도 영주시 문수면 수도리,1,일반,107,2026,1,4760,2026-04-30,N,2026-05-21,47210
4773041036108060084,4773041036,경상북도 의성군 단밀면 낙정리,1,일반,806-84,2026,1,17900,2026-04-30,N,2026-05-21,47730
4790035037105220002,4790035037,경상북도 예천군 보문면 간방리,1,일반,522-2,2026,1,17600,2026-04-30,N,2026-05-21,47900
4715035033100200001,4715035033,경상북도 김천시 감문면 태촌리,1,일반,20-1,2026,1,22000,2026-04-30,N,2026-05-21,47150
4784038036107610000,4784038036,경상북도 성주군 초전면 자양리,1,일반,761,2026,1,44600,2026-04-30,N,2026-05-21,47840
4721032023105560000,4721032023,경상북도 영주시 평은면 오운리,1,일반,556,2026,1,7210,2026-04-30,N,2026-05-21,47210
4773047024101580001,4773047024,경상북도 의성군 안사면 신수리,1,일반,158-1,2026,1,11300,2026-04-30,N,2026-05-21,47730
4713034029126710003,4713034029,경상북도 경주시 산내면 대현리,1,일반,2671-3,2026,1,101000,2026-04-30,N,2026-05-21,47130
4783037046107420003,4783037046,경상북도 고령군 쌍림면 신곡리,1,일반,742-3,2026,1,19200,2026-04-30,N,2026-05-21,47830
4785033043101940000,4785033043,경상북도 칠곡군 가산면 학하리,1,일반,194,2026,1,98900,2026-04-30,N,2026-05-21,47850
4793037021103900167,4793037021,경상북도 울진군 죽변면 죽변리,1,일반,390-167,2026,1,212800,2026-04-30,N,2026-05-21,47930
4793025030105860004,4793025030,경상북도 울진군 울진읍 호월리,1,일반,586-4,2026,1,9380,2026-04-30,N,2026-05-21,47930
4794025024102130013,4794025024,경상북도 울릉군 울릉읍 도동리,1,일반,213-13,2026,1,1854000,2026-04-30,N,2026-05-21,47940
4792025026101250007,4792025026,경상북도 봉화군 봉화읍 해저리,1,일반,125-7,2026,1,19100,2026-04-30,N,2026-05-21,47920
4725041026100200000,4725041026,경상북도 상주시 화서면 사산리,1,일반,20,2026,1,18000,2026-04-30,N,2026-05-21,47250
4790042024101170000,4790042024,경상북도 예천군 효자면 용두리,1,일반,117,2026,1,14400,2026-04-30,N,2026-05-21,47900
4713025626113790000,4713025626,경상북도 경주시 건천읍 화천리,1,일반,1379,2026,1,124900,2026-04-30,N,2026-05-21,47130
4713025333103510003,4713025333,경상북도 경주시 안강읍 안강리,1,일반,351-3,2026,1,1345000,2026-04-30,N,2026-05-21,47130
4793025324104880000,4793025324,경상북도 울진군 평해읍 오곡리,1,일반,488,2026,1,5320,2026-04-30,N,2026-05-21,47930
4790041024100050003,4790041024,경상북도 예천군 풍양면 흥천리,1,일반,5-3,2026,1,16100,2026-04-30,N,2026-05-21,47900
4773038038100050000,4773038038,경상북도 의성군 봉양면 신평리,1,일반,5,2026,1,87600,2026-04-30,N,2026-05-21,47730
4717031033101010001,4717031033,경상북도 안동시 와룡면 서현리,1,일반,101-1,2026,1,9630,2026-04-30,N,2026-05-21,47170
4792036022103470000,4792036022,경상북도 봉화군 재산면 남면리,1,일반,347,2026,1,1440,2026-01-23,Y,2026-05-21,47920
4711125629108330001,4711125629,경상북도 포항시 남구 오천읍 세계리,1,일반,833-1,2026,1,1506000,2026-04-30,N,2026-05-21,47110
4790034044102040000,4790034044,경상북도 예천군 감천면 증거리,1,일반,204,2026,1,5010,2026-04-30,N,2026-05-21,47900
4728034041103130000,4728034041,경상북도 문경시 산북면 흑송리,1,일반,313,2026,1,17000,2026-04-30,N,2026-05-21,47280
4729034033105810000,4729034033,경상북도 경산시 용성면 미산리,1,일반,581,2026,1,40100,2026-04-30,N,2026-05-21,47290
4782025324102050000,4782025324,경상북도 청도군 청도읍 덕암리,1,일반,205,2026,1,26600,2026-04-30,N,2026-05-21,47820
4717012700103950021,4717012700,경상북도 안동시 평화동,1,일반,395-21,2026,1,327100,2026-04-30,N,2026-05-21,47170
4723034025102990000,4723034025,경상북도 영천시 화북면 법화리,1,일반,299,2026,1,4880,2026-04-30,N,2026-05-21,47230
4775036032109390011,4775036032,경상북도 청송군 파천면 관리,1,일반,939-11,2026,1,3280,2026-04-30,N,2026-05-21,47750
4783036034102980015,4783036034,경상북도 고령군 우곡면 도진리,1,일반,298-15,2026,1,24600,2026-04-30,N,2026-05-21,47830
4717012200106480074,4717012200,경상북도 안동시 태화동,1,일반,648-74,2026,1,343500,2026-04-30,N,2026-05-21,47170
4713033023105160002,4713033023,경상북도 경주시 내남면 월산리,1,일반,516-2,2026,1,28600,2026-04-30,N,2026-05-21,47130
4725025034106130360,4725025034,경상북도 상주시 함창읍 금곡리,1,일반,613-360,2026,1,14700,2026-04-30,N,2026-05-21,47250
4729034021101380009,4729034021,경상북도 경산시 용성면 당리리,1,일반,138-9,2026,1,308100,2026-01-23,Y,2026-05-21,47290
4713034021104000000,4713034021,경상북도 경주시 산내면 감산리,1,일반,400,2026,1,23100,2026-04-30,N,2026-05-21,47130
4713025334108550011,4713025334,경상북도 경주시 안강읍 양월리,1,일반,855-11,2026,1,24200,2026-04-30,N,2026-05-21,47130
4792037028102330000,4792037028,경상북도 봉화군 명호면 관창리,1,일반,233,2026,1,25100,2026-04-30,N,2026-05-21,47920
4729034024108670011,4729034024,경상북도 경산시 용성면 부제리,1,일반,867-11,2026,1,2700,2026-04-30,N,2026-05-21,47290
4784033042113220129,4784033042,경상북도 성주군 수륜면 수륜리,1,일반,1322-129,2026,1,19100,2026-04-30,N,2026-05-21,47840
4719036026101530000,4719036026,경상북도 구미시 장천면 묵어리,1,일반,153,2026,1,5780,2026-04-30,N,2026-05-21,47190
4725012500108460003,4725012500,경상북도 상주시 도남동,1,일반,846-3,2026,1,22800,2026-04-30,N,2026-05-21,47250
4713025333101070000,4713025333,경상북도 경주시 안강읍 안강리,1,일반,107,2026,1,65100,2026-04-30,N,2026-05-21,47130
4784032050106280008,4784032050,경상북도 성주군 용암면 문명리,1,일반,628-8,2026,1,75600,2026-04-30,N,2026-05-21,47840
4773043037109270004,4773043037,경상북도 의성군 안계면 양곡리,1,일반,927-4,2026,1,11900,2026-04-30,N,2026-05-21,47730
4711135021111160000,4711135021,경상북도 포항시 남구 호미곶면 강사리,1,일반,1116,2026,1,1570,2026-04-30,N,2026-05-21,47110
4784025022100860002,4784025022,경상북도 성주군 성주읍 대흥리,1,일반,86-2,2026,1,34000,2026-04-30,N,2026-05-21,47840
4783033047108370000,4783033047,경상북도 고령군 성산면 기산리,1,일반,837,2026,1,41300,2026-04-30,N,2026-05-21,47830
4793025324106150000,4793025324,경상북도 울진군 평해읍 오곡리,1,일반,615,2026,1,24800,2026-04-30,N,2026-05-21,47930
4719025030108270000,4719025030,경상북도 구미시 선산읍 화조리,1,일반,827,2026,1,31600,2026-04-30,N,2026-05-21,47190
4777032048103420001,4777032048,경상북도 영덕군 남정면 구계리,1,일반,342-1,2026,1,22800,2026-04-30,N,2026-05-21,47770
4719010600101990001,4719010600,경상북도 구미시 선기동,1,일반,199-1,2026,1,93300,2026-04-30,N,2026-05-21,47190
4721035027106040002,4721035027,경상북도 영주시 안정면 내줄리,1,일반,604-2,2026,1,5670,2026-04-30,N,2026-05-21,47210
4728036025106020000,4728036025,경상북도 문경시 마성면 신현리,1,일반,602,2026,1,16400,2026-04-30,N,2026-05-21,47280
4783036039100310006,4783036039,경상북도 고령군 우곡면 객기리,1,일반,31-6,2026,1,73200,2026-04-30,N,2026-05-21,47830
4719025332116350000,4719025332,경상북도 구미시 고아읍 문성리,1,일반,1635,2026,1,525600,2026-04-30,N,2026-05-21,47190
4773046034106910000,4773046034,경상북도 의성군 안평면 창길리,1,일반,691,2026,1,15800,2026-04-30,N,2026-05-21,47730
4715040025105770000,4715040025,경상북도 김천시 조마면 삼산리,1,일반,577,2026,1,3760,2026-01-23,Y,2026-05-21,47150
4719025334102130002,4719025334,경상북도 구미시 고아읍 괴평리,1,일반,213-2,2026,1,234700,2026-04-30,N,2026-05-21,47190
4711132025101540005,4711132025,경상북도 포항시 남구 동해면 석리,1,일반,154-5,2026,1,86100,2026-04-30,N,2026-05-21,47110
4775036033102500000,4775036033,경상북도 청송군 파천면 중평리,1,일반,250,2026,1,13700,2026-04-30,N,2026-05-21,47750
4713036023104700011,4713036023,경상북도 경주시 현곡면 하구리,1,일반,470-11,2026,1,4330,2026-04-30,N,2026-05-21,47130
