고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,기준연도,기준월,공시지가,공시일자,표준지여부,데이터기준일자,원천시도시군구코드
4684033023104850002,4684033023,전라남도 무안군 청계면 도림리,1,일반,485-2,2026,1,9630,2026-04-30,N,2026-05-21,46840
4689035031103650000,4689035031,전라남도 완도군 청산면 지리,1,일반,365,2026,1,831,2026-04-30,N,2026-05-21,46890
4617036031108340000,4617036031,전라남도 나주시 다시면 송촌리,1,일반,834,2026,1,5110,2026-04-30,N,2026-05-21,46170
4678038025124780008,4678038025,전라남도 보성군 득량면 해평리,1,일반,2478-8,2026,1,3790,2026-04-30,N,2026-05-21,46780
4678025324108340002,4678025324,전라남도 보성군 벌교읍 고읍리,1,일반,834-2,2026,1,3790,2026-04-30,N,2026-05-21,46780
4686032029101200038,4686032029,전라남도 함평군 신광면 계천리,1,일반,120-38,2026,1,10800,2026-04-30,N,2026-05-21,46860
4688025023116380002,4688025023,전라남도 장성군 장성읍 유탕리,1,일반,1638-2,2026,1,9600,2026-04-30,N,2026-05-21,46880
4684032036105530000,4684032036,전라남도 무안군 몽탄면 다산리,1,일반,553,2026,1,12900,2026-04-30,N,2026-05-21,46840
4615039035105180009,4615039035,전라남도 순천시 별량면 송기리,1,일반,518-9,2026,1,3630,2026-04-30,N,2026-05-21,46150
4681036022104120007,4681036022,전라남도 강진군 성전면 월하리,1,일반,412-7,2026,1,5050,2026-04-30,N,2026-05-21,46810
4684034024105820039,4684034024,전라남도 무안군 현경면 외반리,1,일반,582-39,2026,1,6600,2026-04-30,N,2026-05-21,46840
4613035028104300000,4613035028,전라남도 여수시 화정면 조발리,1,일반,430,2026,1,993,2026-04-30,N,2026-05-21,46130
4615012300101950014,4615012300,전라남도 순천시 교량동,1,일반,195-14,2026,1,9570,2026-04-30,N,2026-05-21,46150
4688032029110970037,4688032029,전라남도 장성군 남면 월곡리,1,일반,1097-37,2026,1,38900,2026-04-30,N,2026-05-21,46880
4673035023105130002,4673035023,전라남도 구례군 광의면 대산리,1,일반,513-2,2026,1,37200,2026-04-30,N,2026-05-21,46730
4.67703302110059e+18,4677033021,전라남도 고흥군 금산면 대흥리,1,일반,59-3,2026,1,3250,2026-04-30,N,2026-05-21,46770
4.677040026112049e+18,4677040026,전라남도 고흥군 동강면 오월리,1,일반,1205,2026,1,5130,2026-04-30,N,2026-05-21,46770
4611016300100970006,4611016300,전라남도 목포시 대양동,1,일반,97-6,2026,1,47000,2026-04-30,N,2026-05-21,46110
4679031030103470003,4679031030,전라남도 화순군 한천면 동가리,1,일반,347-3,2026,1,5440,2026-04-30,N,2026-05-21,46790
4691040027104750001,4691040027,전라남도 신안군 안좌면 존포리,1,일반,475-1,2026,1,5130,2026-04-30,N,2026-05-21,46910
4682025037102410012,4682025037,전라남도 해남군 해남읍 복평리,1,일반,241-12,2026,1,3300,2026-04-30,N,2026-05-21,46820
4677031025103690000,4677031025,전라남도 고흥군 풍양면 고옥리,1,일반,369,2026,1,8230,2026-01-23,Y,2026-05-21,46770
4.67702532110811e+18,4677025321,전라남도 고흥군 도양읍 장계리,1,일반,811-1,2026,1,3530,2026-04-30,N,2026-05-21,46770
4688040021106910000,4688040021,전라남도 장성군 북하면 월성리,1,일반,691,2026,1,7620,2026-04-30,N,2026-05-21,46880
4689037021107060008,4689037021,전라남도 완도군 금당면 차우리,1,일반,706-8,2026,1,10800,2026-04-30,N,2026-05-21,46890
4673025029101520003,4673025029,전라남도 구례군 구례읍 계산리,1,일반,152-3,2026,1,10800,2026-04-30,N,2026-05-21,46730
4613034023112570000,4613034023,전라남도 여수시 남면 두모리,1,일반,1257,2026,1,4190,2026-04-30,N,2026-05-21,46130
4689025028103820000,4689025028,전라남도 완도군 완도읍 정도리,1,일반,382,2026,1,11400,2026-04-30,N,2026-05-21,46890
4.677039024103631e+18,4677039024,전라남도 고흥군 남양면 남양리,1,일반,363,2026,1,7840,2026-04-30,N,2026-05-21,46770
4681025034110820005,4681025034,전라남도 강진군 강진읍 춘전리,1,일반,1082-5,2026,1,4750,2026-04-30,N,2026-05-21,46810
4679037025109180000,4679037025,전라남도 화순군 도암면 원천리,1,일반,918,2026,1,24100,2026-04-30,N,2026-05-21,46790
