고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,기준연도,기준월,공시지가,공시일자,표준지여부,데이터기준일자,원천시도시군구코드
5013010700108410013,5013010700,제주특별자치도 서귀포시 상효동,1,일반,841-13,2026,1,129500,2026-04-30,N,2026-05-21,50130
5013025923106160003,5013025923,제주특별자치도 서귀포시 성산읍 시흥리,1,일반,616-3,2026,1,115300,2026-04-30,N,2026-05-21,50130
5011025630116410000,5011025630,제주특별자치도 제주시 구좌읍 한동리,1,일반,1641,2026,1,142200,2026-04-30,N,2026-05-21,50110
5013011000112240000,5013011000,제주특별자치도 서귀포시 보목동,1,일반,1224,2026,1,339100,2026-04-30,N,2026-05-21,50130
5011012900107340002,5011012900,제주특별자치도 제주시 도남동,1,일반,734-2,2026,1,1003000,2026-04-30,N,2026-05-21,50110
5013032024136240000,5013032024,제주특별자치도 서귀포시 표선면 가시리,1,일반,3624,2026,1,6400,2026-04-30,N,2026-05-21,50130
5011033021126620000,5011033021,제주특별자치도 제주시 우도면 연평리,1,일반,2662,2026,1,292100,2026-04-30,N,2026-05-21,50110
5011025926101100002,5011025926,제주특별자치도 제주시 조천읍 대흘리,1,일반,110-2,2026,1,158100,2026-04-30,N,2026-05-21,50110
5013032025124120001,5013032025,제주특별자치도 서귀포시 표선면 세화리,1,일반,2412-1,2026,1,114000,2026-01-23,Y,2026-05-21,50130
5013010800100470003,5013010800,제주특별자치도 서귀포시 하효동,1,일반,47-3,2026,1,385300,2026-04-30,N,2026-05-21,50130
5011031021100540001,5011031021,제주특별자치도 제주시 한경면 청수리,1,일반,54-1,2026,1,160500,2026-04-30,N,2026-05-21,50110
5011025628114800000,5011025628,제주특별자치도 제주시 구좌읍 세화리,1,일반,1480,2026,1,271600,2026-04-30,N,2026-05-21,50110
5011025335115100013,5011025335,제주특별자치도 제주시 애월읍 납읍리,1,일반,1510-13,2026,1,89300,2026-04-30,N,2026-05-21,50110
5013025326120180002,5013025326,제주특별자치도 서귀포시 남원읍 신흥리,1,일반,2018-2,2026,1,9800,2026-04-30,N,2026-05-21,50130
5011025930110160000,5011025930,제주특별자치도 제주시 조천읍 선흘리,1,일반,1016,2026,1,29300,2026-04-30,N,2026-05-21,50110
5013031027100820004,5013031027,제주특별자치도 서귀포시 안덕면 서광리,1,일반,82-4,2026,1,252000,2026-04-30,N,2026-05-21,50130
5011025029106480001,5011025029,제주특별자치도 제주시 한림읍 상대리,1,일반,648-1,2026,1,12500,2026-04-30,N,2026-05-21,50110
5011025022105770000,5011025022,제주특별자치도 제주시 한림읍 수원리,1,일반,577,2026,1,106300,2026-04-30,N,2026-05-21,50110
5011025628103950000,5011025628,제주특별자치도 제주시 구좌읍 세화리,1,일반,395,2026,1,16700,2026-04-30,N,2026-05-21,50110
5013032026105480001,5013032026,제주특별자치도 서귀포시 표선면 토산리,1,일반,548-1,2026,1,34500,2026-04-30,N,2026-05-21,50130
5011012000114580000,5011012000,제주특별자치도 제주시 오라이동,1,일반,1458,2026,1,247600,2026-04-30,N,2026-05-21,50110
5013032021123840000,5013032021,제주특별자치도 서귀포시 표선면 표선리,1,일반,2384,2026,1,225700,2026-04-30,N,2026-05-21,50130
5011025339107920000,5011025339,제주특별자치도 제주시 애월읍 봉성리,1,일반,792,2026,1,9480,2026-04-30,N,2026-05-21,50110
5011031030125640003,5011031030,제주특별자치도 제주시 한경면 저지리,1,일반,2564-3,2026,1,38000,2026-04-30,N,2026-05-21,50110
5011012200107580013,5011012200,제주특별자치도 제주시 노형동,1,일반,758-13,2026,1,1422000,2026-04-30,N,2026-05-21,50110
5013025021112330043,5013025021,제주특별자치도 서귀포시 대정읍 상모리,1,일반,1233-43,2026,1,21100,2026-04-30,N,2026-05-21,50130
5011025336115790005,5011025336,제주특별자치도 제주시 애월읍 어음리,1,일반,1579-5,2026,1,14400,2026-04-30,N,2026-05-21,50110
5013010400111680000,5013010400,제주특별자치도 서귀포시 호근동,1,일반,1168,2026,1,79100,2026-04-30,N,2026-05-21,50130
5011011200106360000,5011011200,제주특별자치도 제주시 화북이동,1,일반,636,2026,1,342700,2026-04-30,N,2026-05-21,50110
5013010200114440000,5013010200,제주특별자치도 서귀포시 법환동,1,일반,1444,2026,1,464200,2026-04-30,N,2026-05-21,50130
5011031026117750002,5011031026,제주특별자치도 제주시 한경면 조수리,1,일반,1775-2,2026,1,14300,2026-04-30,N,2026-05-21,50110
5011025337102030000,5011025337,제주특별자치도 제주시 애월읍 곽지리,1,일반,203,2026,1,38000,2026-04-30,N,2026-05-21,50110
5013025032115440001,5013025032,제주특별자치도 서귀포시 대정읍 영락리,1,일반,1544-1,2026,1,44500,2026-04-30,N,2026-05-21,50130
5011025336113950001,5011025336,제주특별자치도 제주시 애월읍 어음리,1,일반,1395-1,2026,1,12200,2026-04-30,N,2026-05-21,50110
5011031027107710001,5011031027,제주특별자치도 제주시 한경면 두모리,1,일반,771-1,2026,1,26400,2026-04-30,N,2026-05-21,50110
5011012200110370003,5011012200,제주특별자치도 제주시 노형동,1,일반,1037-3,2026,1,1399000,2026-01-23,Y,2026-05-21,50110
5011025923134470006,5011025923,제주특별자치도 제주시 조천읍 조천리,1,일반,3447-6,2026,1,64400,2026-04-30,N,2026-05-21,50110
5011025634148990000,5011025634,제주특별자치도 제주시 구좌읍 김녕리,1,일반,4899,2026,1,80800,2026-04-30,N,2026-05-21,50110
5013025028101730000,5013025028,제주특별자치도 서귀포시 대정읍 동일리,1,일반,173,2026,1,39500,2026-04-30,N,2026-05-21,50130
5013032025102570023,5013032025,제주특별자치도 서귀포시 표선면 세화리,1,일반,257-23,2026,1,103600,2026-04-30,N,2026-05-21,50130
5011031027100800002,5011031027,제주특별자치도 제주시 한경면 두모리,1,일반,80-2,2026,1,12800,2026-04-30,N,2026-05-21,50110
5011031028106640001,5011031028,제주특별자치도 제주시 한경면 신창리,1,일반,664-1,2026,1,172300,2026-04-30,N,2026-05-21,50110
5011025930126120013,5011025930,제주특별자치도 제주시 조천읍 선흘리,1,일반,2612-13,2026,1,45300,2026-04-30,N,2026-05-21,50110
5011025027104000009,5011025027,제주특별자치도 제주시 한림읍 명월리,1,일반,400-9,2026,1,18200,2026-04-30,N,2026-05-21,50110
5013010100101970001,5013010100,제주특별자치도 서귀포시 서귀동,1,일반,197-1,2026,1,604000,2026-04-30,N,2026-05-21,50130
5011032023105740000,5011032023,제주특별자치도 제주시 추자면 묵리,1,일반,574,2026,1,4320,2026-04-30,N,2026-05-21,50110
5011013200104570000,5011013200,제주특별자치도 제주시 용강동,1,일반,457,2026,1,13300,2026-04-30,N,2026-05-21,50110
5013011100120000002,5013011100,제주특별자치도 서귀포시 토평동,1,일반,2000-2,2026,1,135100,2026-04-30,N,2026-05-21,50130
5011025025129990006,5011025025,제주특별자치도 제주시 한림읍 금악리,1,일반,2999-6,2026,1,137900,2026-04-30,N,2026-05-21,50110
5013025329106610008,5013025329,제주특별자치도 서귀포시 남원읍 신례리,1,일반,661-8,2026,1,76700,2026-04-30,N,2026-05-21,50130
5013025925140070000,5013025925,제주특별자치도 서귀포시 성산읍 수산리,1,일반,4007,2026,1,9490,2026-04-30,N,2026-05-21,50130
5011025336136990000,5011025336,제주특별자치도 제주시 애월읍 어음리,1,일반,3699,2026,1,123900,2026-04-30,N,2026-05-21,50110
5011014000107380000,5011014000,제주특별자치도 제주시 내도동,1,일반,738,2026,1,70300,2026-04-30,N,2026-05-21,50110
5013011500107410006,5013011500,제주특별자치도 서귀포시 월평동,1,일반,741-6,2026,1,221200,2026-04-30,N,2026-05-21,50130
5011010800128210007,5011010800,제주특별자치도 제주시 용담일동,1,일반,2821-7,2026,1,727000,2026-04-30,N,2026-05-21,50110
5011025325105530001,5011025325,제주특별자치도 제주시 애월읍 수산리,1,일반,553-1,2026,1,143300,2026-04-30,N,2026-05-21,50110
5011025334118690002,5011025334,제주특별자치도 제주시 애월읍 애월리,1,일반,1869-2,2026,1,90200,2026-04-30,N,2026-05-21,50110
5011013700103010019,5011013700,제주특별자치도 제주시 연동,1,일반,301-19,2026,1,1793000,2026-04-30,N,2026-05-21,50110
5013025327113960002,5013025327,제주특별자치도 서귀포시 남원읍 위미리,1,일반,1396-2,2026,1,24200,2026-04-30,N,2026-05-21,50130
5011025922108810000,5011025922,제주특별자치도 제주시 조천읍 와흘리,1,일반,881,2026,1,16700,2026-04-30,N,2026-05-21,50110
5013025030101280001,5013025030,제주특별자치도 서귀포시 대정읍 구억리,1,일반,128-1,2026,1,77400,2026-04-30,N,2026-05-21,50130
5011013600111910002,5011013600,제주특별자치도 제주시 영평동,1,일반,1191-2,2026,1,84000,2026-04-30,N,2026-05-21,50110
5011025342127380000,5011025342,제주특별자치도 제주시 애월읍 유수암리,1,일반,2738,2026,1,13000,2026-04-30,N,2026-05-21,50110
5013011900133830030,5013011900,제주특별자치도 서귀포시 색달동,1,일반,3383-30,2026,1,52500,2026-04-30,N,2026-05-21,50130
5013011100109410008,5013011100,제주특별자치도 서귀포시 토평동,1,일반,941-8,2026,1,464400,2026-04-30,N,2026-05-21,50130
5011012900109200019,5011012900,제주특별자치도 제주시 도남동,1,일반,920-19,2026,1,496000,2026-04-30,N,2026-05-21,50110
5013025929116720008,5013025929,제주특별자치도 서귀포시 성산읍 신풍리,1,일반,1672-8,2026,1,6590,2026-04-30,N,2026-05-21,50130
5011025027100300000,5011025027,제주특별자치도 제주시 한림읍 명월리,1,일반,30,2026,1,6120,2026-04-30,N,2026-05-21,50110
5011025333108200002,5011025333,제주특별자치도 제주시 애월읍 고내리,1,일반,820-2,2026,1,34700,2026-04-30,N,2026-05-21,50110
5013025023119800003,5013025023,제주특별자치도 서귀포시 대정읍 안성리,1,일반,1980-3,2026,1,37700,2026-04-30,N,2026-05-21,50130
5013025925112210000,5013025925,제주특별자치도 서귀포시 성산읍 수산리,1,일반,1221,2026,1,94300,2026-04-30,N,2026-05-21,50130
5011025328108290000,5011025328,제주특별자치도 제주시 애월읍 소길리,1,일반,829,2026,1,18600,2026-04-30,N,2026-05-21,50110
5011025924102880027,5011025924,제주특별자치도 제주시 조천읍 함덕리,1,일반,288-27,2026,1,354600,2026-04-30,N,2026-05-21,50110
5013011300105760001,5013011300,제주특별자치도 서귀포시 회수동,1,일반,576-1,2026,1,278800,2026-04-30,N,2026-05-21,50130
5013010200112330001,5013010200,제주특별자치도 서귀포시 법환동,1,일반,1233-1,2026,1,236900,2026-04-30,N,2026-05-21,50130
5011025633119580001,5011025633,제주특별자치도 제주시 구좌읍 평대리,1,일반,1958-1,2026,1,295700,2026-04-30,N,2026-05-21,50110
