고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,기준연도,기준월,공시지가,공시일자,표준지여부,데이터기준일자,원천시도시군구코드
4423035031100380011,4423035031,충청남도 논산시 부적면 반송리,1,일반,38-11,2026,1,23800,2026-04-30,N,2026-05-21,44230
4481035031100980006,4481035031,충청남도 예산군 응봉면 송석리,1,일반,98-6,2026,1,5700,2026-04-30,N,2026-05-21,44810
4418025030102640000,4418025030,충청남도 보령시 웅천읍 소황리,1,일반,264,2026,1,14400,2026-04-30,N,2026-05-21,44180
4418010600100650001,4418010600,충청남도 보령시 궁촌동,1,일반,65-1,2026,1,198100,2026-04-30,N,2026-05-21,44180
4421025022101390004,4421025022,충청남도 서산시 대산읍 대로리,1,일반,139-4,2026,1,6990,2026-04-30,N,2026-05-21,44210
4413136021101990003,4413136021,충청남도 천안시 동남구 병천면 가전리,1,일반,199-3,2026,1,180100,2026-04-30,N,2026-05-21,44130
4476038028101780001,4476038028,충청남도 부여군 남면 금천리,1,일반,178-1,2026,1,7950,2026-04-30,N,2026-05-21,44760
4471025024100390006,4471025024,충청남도 금산군 금산읍 상리,1,일반,39-6,2026,1,310400,2026-04-30,N,2026-05-21,44710
4481032034106380000,4481032034,충청남도 예산군 신양면 여래미리,1,일반,638,2026,1,16700,2026-04-30,N,2026-05-21,44810
4476043027111020007,4476043027,충청남도 부여군 세도면 수고리,1,일반,1102-7,2026,1,12800,2026-04-30,N,2026-05-21,44760
4482533022100950006,4482533022,충청남도 태안군 근흥면 수룡리,1,일반,95-6,2026,1,4290,2026-04-30,N,2026-05-21,44825
4471033021102300004,4471033021,충청남도 금산군 부리면 창평리,1,일반,230-4,2026,1,22700,2026-01-23,Y,2026-05-21,44710
4471035021109920006,4471035021,충청남도 금산군 남일면 황풍리,1,일반,992-6,2026,1,7360,2026-04-30,N,2026-05-21,44710
4420025021103300011,4420025021,충청남도 아산시 염치읍 산양리,1,일반,330-11,2026,1,4850,2026-04-30,N,2026-05-21,44200
4479039030100170002,4479039030,충청남도 청양군 비봉면 방한리,1,일반,17-2,2026,1,14500,2026-04-30,N,2026-05-21,44790
4427031022104250012,4427031022,충청남도 당진시 고대면 슬항리,1,일반,425-12,2026,1,38500,2026-04-28,N,2026-05-21,44270
4481038031107860001,4481038031,충청남도 예산군 고덕면 사리,1,일반,786-1,2026,1,190100,2026-04-30,N,2026-05-21,44810
4479037023100600061,4479037023,충청남도 청양군 남양면 백금리,1,일반,60-61,2026,1,15900,2026-04-30,N,2026-05-21,44790
4413325035101540004,4413325035,충청남도 천안시 서북구 성환읍 수향리,1,일반,154-4,2026,1,273100,2026-04-30,N,2026-05-21,44130
4482525029108720001,4482525029,충청남도 태안군 태안읍 인평리,1,일반,872-1,2026,1,24400,2026-04-30,N,2026-05-21,44825
4479025029104240017,4479025029,충청남도 청양군 청양읍 송방리,1,일반,424-17,2026,1,14200,2026-04-30,N,2026-05-21,44790
4418032023100650003,4418032023,충청남도 보령시 오천면 교성리,1,일반,65-3,2026,1,5110,2026-04-30,N,2026-05-21,44180
4413137022101430004,4413137022,충청남도 천안시 동남구 동면 송연리,1,일반,143-4,2026,1,10500,2026-04-30,N,2026-05-21,44130
4477034029100560000,4477034029,충청남도 서천군 한산면 송산리,1,일반,56,2026,1,11200,2026-04-30,N,2026-05-21,44770
4481040026100610000,4481040026,충청남도 예산군 오가면 좌방리,1,일반,61,2026,1,6200,2026-04-30,N,2026-05-21,44810
4476025028100910002,4476025028,충청남도 부여군 부여읍 동남리,1,일반,91-2,2026,1,33900,2026-04-30,N,2026-05-21,44760
4421025024102280001,4421025024,충청남도 서산시 대산읍 오지리,1,일반,228-1,2026,1,23400,2026-04-30,N,2026-05-21,44210
4477025325101680004,4477025325,충청남도 서천군 서천읍 태월리,1,일반,168-4,2026,1,15400,2026-04-30,N,2026-05-21,44770
4413325328100030003,4413325328,충청남도 천안시 서북구 성거읍 정촌리,1,일반,3-3,2026,1,192100,2026-04-30,N,2026-05-21,44130
4482525030102900000,4482525030,충청남도 태안군 태안읍 도내리,1,일반,290,2026,1,26700,2026-04-30,N,2026-05-21,44825
4413111400100280029,4413111400,충청남도 천안시 동남구 다가동,1,일반,28-29,2026,1,889300,2026-04-30,N,2026-05-21,44130
4427025335102970002,4427025335,충청남도 당진시 송악읍 오곡리,1,일반,297-2,2026,1,64300,2026-04-28,N,2026-05-21,44270
4418033022104280051,4418033022,충청남도 보령시 천북면 학성리,1,일반,428-51,2026,1,14300,2026-04-30,N,2026-05-21,44180
4415034032102580018,4415034032,충청남도 공주시 반포면 온천리,1,일반,258-18,2026,1,89700,2026-04-30,N,2026-05-21,44150
4421036027100690005,4421036027,충청남도 서산시 성연면 명천리,1,일반,69-5,2026,1,19500,2026-04-30,N,2026-05-21,44210
4480025030113070000,4480025030,충청남도 홍성군 홍성읍 고암리,1,일반,1307,2026,1,340000,2026-04-30,N,2026-05-21,44800
4415025037104120000,4415025037,충청남도 공주시 유구읍 동해리,1,일반,412,2026,1,51400,2026-04-30,N,2026-05-21,44150
4420036028102840017,4420036028,충청남도 아산시 둔포면 산전리,1,일반,284-17,2026,1,28000,2026-04-30,N,2026-05-21,44200
4471032023109890000,4471032023,충청남도 금산군 제원면 수당리,1,일반,989,2026,1,5700,2026-04-30,N,2026-05-21,44710
4423041023100250007,4423041023,충청남도 논산시 은진면 토양리,1,일반,25-7,2026,1,16900,2026-04-30,N,2026-05-21,44230
4471033028107450006,4471033028,충청남도 금산군 부리면 어재리,1,일반,745-6,2026,1,4280,2026-04-30,N,2026-05-21,44710
4479036023101210003,4479036023,충청남도 청양군 장평면 미당리,1,일반,121-3,2026,1,1170,2026-04-30,N,2026-05-21,44790
4421037022113480021,4421037022,충청남도 서산시 음암면 탑곡리,1,일반,1348-21,2026,1,43400,2026-04-30,N,2026-05-21,44210
4418032026106160001,4418032026,충청남도 보령시 오천면 효자도리,1,일반,616-1,2026,1,35200,2026-04-30,N,2026-05-21,44180
4423039026104220015,4423039026,충청남도 논산시 양촌면 오산리,1,일반,422-15,2026,1,4910,2026-04-30,N,2026-05-21,44230
4415033025105520000,4415033025,충청남도 공주시 계룡면 내흥리,1,일반,552,2026,1,20700,2026-04-30,N,2026-05-21,44150
4471031028105670002,4471031028,충청남도 금산군 금성면 의총리,1,일반,567-2,2026,1,6690,2026-04-30,N,2026-05-21,44710
4421037022106410005,4421037022,충청남도 서산시 음암면 탑곡리,1,일반,641-5,2026,1,20800,2026-04-30,N,2026-05-21,44210
4471038025105510000,4471038025,충청남도 금산군 복수면 목소리,1,일반,551,2026,1,13100,2026-04-30,N,2026-05-21,44710
4423025329103180002,4423025329,충청남도 논산시 연무읍 고내리,1,일반,318-2,2026,1,7060,2026-04-30,N,2026-05-21,44230
4423039027103890001,4423039027,충청남도 논산시 양촌면 채광리,1,일반,389-1,2026,1,34400,2026-04-30,N,2026-05-21,44230
4421038035101560000,4421038035,충청남도 서산시 운산면 가좌리,1,일반,156,2026,1,39600,2026-04-30,N,2026-05-21,44210
4418011000116340007,4418011000,충청남도 보령시 신흑동,1,일반,1634-7,2026,1,572300,2026-01-23,Y,2026-05-21,44180
4480025631102860002,4480025631,충청남도 홍성군 홍북읍 산수리,1,일반,286-2,2026,1,28500,2026-04-30,N,2026-05-21,44800
4476031034100400003,4476031034,충청남도 부여군 규암면 내리,1,일반,40-3,2026,1,8150,2026-04-30,N,2026-05-21,44760
4423031026109210000,4423031026,충청남도 논산시 성동면 원남리,1,일반,921,2026,1,21500,2026-04-30,N,2026-05-21,44230
4420010800101060000,4420010800,충청남도 아산시 장존동,1,일반,106,2026,1,73100,2026-04-30,N,2026-05-21,44200
4482533023102820000,4482533023,충청남도 태안군 근흥면 마금리,1,일반,282,2026,1,22500,2026-04-30,N,2026-05-21,44825
4481038026103110001,4481038026,충청남도 예산군 고덕면 지곡리,1,일반,311-1,2026,1,23300,2026-04-30,N,2026-05-21,44810
4415037041102230001,4415037041,충청남도 공주시 정안면 내문리,1,일반,223-1,2026,1,32200,2026-04-30,N,2026-05-21,44150
4420041021110050000,4420041021,충청남도 아산시 신창면 오목리,1,일반,1005,2026,1,19800,2026-04-30,N,2026-05-21,44200
4413325325100570051,4413325325,충청남도 천안시 서북구 성거읍 저리,1,일반,57-51,2026,1,252900,2026-04-30,N,2026-05-21,44130
4476043026101240026,4476043026,충청남도 부여군 세도면 간대리,1,일반,124-26,2026,1,3260,2026-04-30,N,2026-05-21,44760
4420011200105100010,4420011200,충청남도 아산시 용화동,1,일반,510-10,2026,1,3360,2026-04-30,N,2026-05-21,44200
4479031029100230007,4479031029,충청남도 청양군 운곡면 추광리,1,일반,23-7,2026,1,778,2026-04-30,N,2026-05-21,44790
4477038024103230001,4477038024,충청남도 서천군 판교면 상좌리,1,일반,323-1,2026,1,24400,2026-04-30,N,2026-05-21,44770
4481025024101280000,4481025024,충청남도 예산군 예산읍 주교리,1,일반,128,2026,1,463100,2026-04-30,N,2026-05-21,44810
4420037022100530004,4420037022,충청남도 아산시 영인면 상성리,1,일반,53-4,2026,1,16300,2026-04-30,N,2026-05-21,44200
4427025337103310011,4427025337,충청남도 당진시 송악읍 한진리,1,일반,331-11,2026,1,97000,2026-04-28,N,2026-05-21,44270
4420025024100950004,4420025024,충청남도 아산시 염치읍 중방리,1,일반,95-4,2026,1,24000,2026-04-30,N,2026-05-21,44200
4480039032105100000,4480039032,충청남도 홍성군 구항면 마온리,1,일반,510,2026,1,20700,2026-01-23,Y,2026-05-21,44800
4479038030103150000,4479038030,충청남도 청양군 화성면 광평리,1,일반,315,2026,1,5200,2026-04-30,N,2026-05-21,44790
