대분류,중분류,소분류,칭찬,질의,불만,요청,기타
유지관리,농업용수관리(수량),급수예고,0,0,1,0,0
유지관리,농업용수관리(수량),용수공급 관리,1,37,12,34,0
유지관리,농업용수관리(수량),"수초제거, 준설",1,26,0,55,0
유지관리,농업용수관리(수량),가뭄시 용수확보,0,0,0,2,0
유지관리,농업용수관리(수량),급수 손해보상,0,4,1,1,0
유지관리,농업용수관리(수량),기타 용수공급시설 관리,1,27,11,56,0
유지관리,수질관리,수질조사 및 수질현황,0,12,2,6,0
유지관리,수질관리,수질개선사업 현황,0,2,1,1,0
유지관리,수질관리,수질오염행위,0,22,2,39,0
유지관리,수질관리,수질오염사고,0,10,0,12,0
유지관리,수질관리,기타 수질보전활동,0,26,2,47,0
유지관리,시설물관리,시설물 점검,2,125,6,122,0
유지관리,시설물관리,안전사고,0,65,3,131,0
유지관리,시설물관리,저수지 개보수,0,11,2,10,0
유지관리,시설물관리,양수장 개보수,0,2,0,2,0
유지관리,시설물관리,배수장 개보수,0,0,1,4,0
유지관리,시설물관리,용배수로 개보수,0,80,11,166,0
유지관리,시설물관리,"사업구역조정(편입,탈퇴)",0,3,0,1,0
유지관리,시설물관리,기타,1,586,83,"1,091",0
유지관리,사용허가,사용허가(시설토지사용) 관련,1,95,12,32,0
유지관리,사용허가,사용허가 시설 관리,0,38,5,32,0
유지관리,사용허가,사용허가(수면사용) 관련,0,18,3,7,0
유지관리,사용허가,사용허가(용수사용) 관련,0,3,0,2,0
유지관리,사용허가,사용허가 및 계약,0,26,2,8,0
구조개선,영농규모화,지원자격,0,5,0,0,0
구조개선,영농규모화,"사업대상(논,과수원 등)",0,1,0,0,0
구조개선,영농규모화,"지원조건(단가, 상환기간 등)",0,2,0,0,0
구조개선,영농규모화,대금상환,0,0,1,1,0
구조개선,영농규모화,사후관리,0,0,0,2,0
구조개선,영농규모화,지원절차,0,1,0,0,0
구조개선,영농규모화,기타,1,3,3,1,0
구조개선,임대매도수탁,지원자격,0,24,4,2,0
구조개선,임대매도수탁,"사업대상(논,과수원 등)",0,12,1,0,0
구조개선,임대매도수탁,"지원조건(단가, 상환기간 등)",0,1,0,0,0
구조개선,임대매도수탁,대금상환,0,0,1,1,0
구조개선,임대매도수탁,사후관리,0,10,0,3,0
구조개선,임대매도수탁,지원절차,0,2,2,3,0
구조개선,임대매도수탁,기타,1,35,9,5,0
구조개선,경영회생,지원자격,0,9,1,0,0
구조개선,경영회생,지원절차,0,1,0,1,0
구조개선,경영회생,기타,0,8,1,7,0
구조개선,매입비축,지원자격,0,8,1,2,0
구조개선,매입비축,"사업대상(논,과수원 등)",0,9,0,1,0
구조개선,매입비축,"지원조건(단가, 상환기간 등)",0,2,0,0,0
구조개선,매입비축,사후관리,0,1,4,10,0
구조개선,매입비축,지원절차,0,3,2,0,0
구조개선,매입비축,기타,0,19,4,7,0
구조개선,직불사업,지원자격,0,1,0,1,0
구조개선,직불사업,사후관리,0,1,0,0,0
구조개선,농지연금,지원자격,0,28,0,2,0
구조개선,농지연금,"사업대상(논,과수원 등)",0,4,0,0,0
구조개선,농지연금,"지원조건(단가, 상환기간 등)",0,1,0,0,0
구조개선,농지연금,대금상환,0,1,0,1,0
구조개선,농지연금,사후관리,0,2,0,0,0
구조개선,농지연금,지원절차,0,3,0,0,0
구조개선,농지연금,기타,0,5,1,0,0
생산기반정비,수자원확보,손실보상,0,4,4,8,0
생산기반정비,수자원확보,양배수장 등 시설설치,0,7,4,1,0
생산기반정비,수자원확보,배수개선 사업요청,0,1,0,6,0
생산기반정비,수자원확보,공사장 정리보완,0,7,4,8,0
생산기반정비,수자원확보,사업마무리,0,9,1,1,0
생산기반정비,수자원확보,설계변경,0,0,3,2,0
생산기반정비,수자원확보,기타,0,35,16,25,0
생산기반정비,생산효율화,손실보상,0,9,2,4,0
생산기반정비,생산효율화,경작로확포장,0,2,0,5,0
생산기반정비,생산효율화,경지정리 사업요청,0,1,0,1,0
생산기반정비,생산효율화,공사장 정리보완,0,16,9,3,0
생산기반정비,생산효율화,사업마무리,0,20,0,4,0
생산기반정비,생산효율화,환지,1,6,0,5,0
생산기반정비,생산효율화,기타,0,25,10,18,0
생산기반정비,4대강살리기,손실보상,0,0,0,1,0
생산기반정비,4대강살리기,기타,0,2,1,1,0
생산기반정비,대단위간척,손실보상,0,0,0,5,0
생산기반정비,대단위간척,사업요청,0,0,0,3,0
생산기반정비,대단위간척,공사장 정리보완,0,0,1,2,0
생산기반정비,대단위간척,일시경작,0,1,1,0,0
생산기반정비,대단위간척,기타,0,11,0,6,0
지역개발,농어촌종합개발,농어촌종합개발사업 요청,0,2,2,8,0
지역개발,농어촌종합개발,농어촌주민 역량강화,0,2,1,2,0
지역개발,농어촌종합개발,기타,0,46,27,30,0
지역개발,도농교류/농산업,주택표준설계도,0,0,0,1,0
지역개발,어촌개발,어촌개발계획 수립,2,1,0,0,0
지역개발,어촌개발,기타,0,1,4,6,0
기타,기타,정보공개,0,20,0,8,0
기타,기타,친절응대,23,11,22,8,0
기타,기타,사보구독,0,0,0,1,0
기타,기타,사회공헌,1,0,0,0,0
기타,기타,업무신속처리,2,7,5,6,0
기타,기타,기타,1,860,118,"1,046",0
