가입연도,가입당시연령,계약자 소재지(시군구),면적,지목,월지급금(원)
2012,70대,강원특별자치도 강릉시 강동면 모전리,744,답,51650
2012,70대,강원특별자치도 강릉시 강동면 모전리,1140,답,79150
2012,70대,강원특별자치도 강릉시 강동면 모전리,744,전,51650
2012,70대,강원특별자치도 강릉시 강동면 모전리,744,답,51650
2024,80대,강원특별자치도 강릉시 강동면 상시동리,2864,답,717810
2011,80대,강원특별자치도 강릉시 강동면 안인리,14337,"답,전",807610
2020,70대,강원특별자치도 강릉시 강동면 언별리,2205,답,769020
2019,70대,강원특별자치도 강릉시 강동면 임곡리,552,전,96410
2019,70대,강원특별자치도 강릉시 강동면 임곡리,1954,전,341280
2019,70대,강원특별자치도 강릉시 강동면 임곡리,655,답,114400
2019,70대,강원특별자치도 강릉시 강동면 임곡리,3428,전,579410
2019,70대,강원특별자치도 강릉시 강동면 임곡리,807,전,140940
2019,70대,강원특별자치도 강릉시 강동면 임곡리,906,답,173550
2019,70대,강원특별자치도 강릉시 강동면 임곡리,588,답,112630
2019,70대,강원특별자치도 강릉시 강동면 임곡리,1864,답,357060
2019,70대,강원특별자치도 강릉시 강동면 임곡리,855,답,163780
2019,70대,강원특별자치도 강릉시 강동면 임곡리,1218,답,233320
2019,70대,강원특별자치도 강릉시 강동면 임곡리,1617,전,291530
2015,60대,강원특별자치도 강릉시 강동면 하시동리,8050,답,336980
2012,70대,강원특별자치도 강릉시 교동 ,393,전,76190
2012,60대,강원특별자치도 강릉시 교동 ,93,전,29260
2014,70대,강원특별자치도 강릉시 교동 ,3461,전,914070
2014,80대,강원특별자치도 강릉시 교동 ,4631,전,847940
2015,70대,강원특별자치도 강릉시 교동 ,1811,답,499330
2018,80대,강원특별자치도 강릉시 교동 ,271,전,198530
2018,80대,강원특별자치도 강릉시 교동 ,343,전,308150
2018,80대,강원특별자치도 강릉시 교동 ,1891,전,1385310
2018,80대,강원특별자치도 강릉시 교동 ,1445,전,1046950
2019,70대,강원특별자치도 강릉시 교동 ,10781,전,1021410
2021,70대,강원특별자치도 강릉시 교동 ,1248,전,817070
2022,60대,강원특별자치도 강릉시 교동 ,5798,전,1406820
2024,60대,강원특별자치도 강릉시 교동 ,4077,전,3000000
2024,70대,강원특별자치도 강릉시 교동 ,6173,전,1191560
2025,70대,강원특별자치도 강릉시 교동 ,6416,전,2090010
2014,70대,강원특별자치도 강릉시 구정면 구정리,7662,"답,전",773300
2015,60대,강원특별자치도 강릉시 구정면 구정리,7699,전,1647950
2016,70대,강원특별자치도 강릉시 구정면 구정리,8188,전,2506340
2021,60대,강원특별자치도 강릉시 구정면 구정리,2046,전,122350
2015,80대,강원특별자치도 강릉시 구정면 금광리,6342,답,2015090
2015,80대,강원특별자치도 강릉시 구정면 금광리,6342,답,2015090
2019,70대,강원특별자치도 강릉시 구정면 금광리,876,전,258340
2019,70대,강원특별자치도 강릉시 구정면 금광리,1899,전,560030
2019,70대,강원특별자치도 강릉시 구정면 금광리,1900,전,560330
2017,60대,강원특별자치도 강릉시 구정면 어단리,18280,과수원,3000000
2018,60대,강원특별자치도 강릉시 구정면 어단리,1446,전,328450
2019,60대,강원특별자치도 강릉시 구정면 어단리,628,전,153520
2019,60대,강원특별자치도 강릉시 구정면 어단리,1375,답,336150
2020,70대,강원특별자치도 강릉시 구정면 어단리,10931,과수원,3000000
2024,80대,강원특별자치도 강릉시 구정면 어단리,18232,과수원,3000000
2019,60대,강원특별자치도 강릉시 구정면 여찬리,4791,전,1886560
2024,70대,강원특별자치도 강릉시 구정면 여찬리,1020,전,993090
2018,70대,강원특별자치도 강릉시 구정면 제비리,2057,답,1140840
2018,70대,강원특별자치도 강릉시 구정면 제비리,1054,답,428560
2018,70대,강원특별자치도 강릉시 구정면 제비리,1235,답,502160
2021,70대,강원특별자치도 강릉시 구정면 제비리,3507,전,967180
2022,70대,강원특별자치도 강릉시 구정면 제비리,3504,답,701150
2020,80대,강원특별자치도 강릉시 구정면 학산리,2056,답,1644680
2020,80대,강원특별자치도 강릉시 구정면 학산리,1106,답,884740
2020,70대,강원특별자치도 강릉시 구정면 학산리,5273,과수원,3000000
2014,70대,강원특별자치도 강릉시 난곡동 ,4337,답,1001370
2020,70대,강원특별자치도 강릉시 난곡동 ,3415,전,2824540
2019,90대,강원특별자치도 강릉시 남문동 ,3494,전,1327060
2025,70대,강원특별자치도 강릉시 남문동 ,8266,답,1511680
2023,70대,강원특별자치도 강릉시 남항진동 ,1105,전,2815590
2023,60대,강원특별자치도 강릉시 남항진동 ,1708,전,2730850
2011,70대,강원특별자치도 강릉시 내곡동 ,2119,답,201760
2016,70대,강원특별자치도 강릉시 내곡동 ,4029,전,940930
2018,60대,강원특별자치도 강릉시 내곡동 ,1110,전,453800
2019,70대,강원특별자치도 강릉시 내곡동 ,1974,답,3000000
2022,70대,강원특별자치도 강릉시 내곡동 ,3566,전,2119220
2023,70대,강원특별자치도 강릉시 내곡동 ,6174,전,2746540
